issue_id,impact,description
aria-allowed-role,minor,"Ensures role attribute has an appropriate value for the element"
aria-required-children,critical,"Ensures elements with an ARIA role that require child roles contain them"
heading-order,moderate,"Ensures the order of headings is semantically correct"
html-has-lang,serious,"Ensures every HTML document has a lang attribute"
landmark-one-main,moderate,"Ensures the document has a main landmark"
link-name,serious,"Ensures links have discernible text"
nested-interactive,serious,"Ensures interactive controls are not nested as they are not always announced by screen readers or can cause focus problems for assistive technologies"
region,moderate,"Ensures all page content is contained by landmarks"
aria-allowed-attr,null,"Ensures an element's role supports its ARIA attributes"
aria-conditional-attr,null,"Ensures ARIA attributes are used as described in the specification of the element's role"
aria-deprecated-role,null,"Ensures elements do not use deprecated roles"
aria-hidden-body,null,"Ensures aria-hidden="true" is not present on the document body."
aria-hidden-focus,null,"Ensures aria-hidden elements are not focusable nor contain focusable elements"
aria-prohibited-attr,null,"Ensures ARIA attributes are not prohibited for an element's role"
aria-required-attr,null,"Ensures elements with ARIA roles have all required ARIA attributes"
aria-required-parent,null,"Ensures elements with an ARIA role that require parent roles are contained by them"
aria-roles,null,"Ensures all elements with a role attribute use a valid value"
aria-valid-attr-value,null,"Ensures all ARIA attributes have valid values"
aria-valid-attr,null,"Ensures attributes that begin with aria- are valid ARIA attributes"
avoid-inline-spacing,null,"Ensure that text spacing set through style attributes can be adjusted with custom stylesheets"
button-name,null,"Ensures buttons have discernible text"
bypass,null,"Ensures each page has at least one mechanism for a user to bypass navigation and jump straight to the content"
color-contrast,serious,"Ensures the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds"
document-title,null,"Ensures each HTML document contains a non-empty <title> element"
duplicate-id-aria,null,"Ensures every id attribute value used in ARIA and in labels is unique"
empty-heading,null,"Ensures headings have discernible text"
image-alt,null,"Ensures <img> elements have alternate text or a role of none or presentation"
image-redundant-alt,null,"Ensure image alternative is not repeated as text"
landmark-banner-is-top-level,null,"Ensures the banner landmark is at top level"
landmark-no-duplicate-banner,null,"Ensures the document has at most one banner landmark"
landmark-unique,null,"Landmarks should have a unique role or role/label/title (i.e. accessible name) combination"
link-in-text-block,null,"Ensure links are distinguished from surrounding text in a way that does not rely on color"
list,null,"Ensures that lists are structured correctly"
listitem,null,"Ensures <li> elements are used semantically"
meta-viewport-large,null,"Ensures <meta name="viewport"> can scale a significant amount"
meta-viewport,null,"Ensures <meta name="viewport"> does not disable text scaling and zooming"
page-has-heading-one,null,"Ensure that the page, or at least one of its frames contains a level-one heading"
role-img-alt,null,"Ensures [role="img"] elements have alternate text"
scrollable-region-focusable,null,"Ensure elements that have scrollable content are accessible by keyboard"
tabindex,null,"Ensures tabindex attribute values are not greater than 0"
empty-table-header,null,"Ensures table headers have discernible text"
scope-attr-valid,null,"Ensures the scope attribute is used correctly on tables"
table-duplicate-name,null,"Ensure the <caption> element does not contain the same text as the summary attribute"
td-headers-attr,null,"Ensure that each cell in a table that uses the headers attribute refers only to other cells in that table"
th-has-data-cells,null,"Ensure that <th> elements and elements with role=columnheader/rowheader have data cells they describe"
form-field-multiple-labels,null,"Ensures form field does not have multiple label elements"
label-title-only,null,"Ensures that every form element has a visible label and is not solely labeled using hidden labels, or the title or aria-describedby attributes"
label,null,"Ensures every form element has a label"
aria-command-name,null,"Ensures every ARIA button, link and menuitem has an accessible name"
aria-input-field-name,null,"Ensures every ARIA input field has an accessible name"
landmark-main-is-top-level,moderate,"Ensures the main landmark is at top level"
landmark-no-duplicate-main,moderate,"Ensures the document has at most one main landmark"
svg-img-alt,serious,"Ensures <svg> elements with an img, graphics-document or graphics-symbol role have an accessible text"
select-name,null,"Ensures select element has an accessible name"
landmark-complementary-is-top-level,moderate,"Ensures the complementary landmark or aside is at top level"
aria-toggle-field-name,null,"Ensures every ARIA toggle field has an accessible name"
autocomplete-valid,null,"Ensure the autocomplete attribute is correct and suitable for the form field"
frame-tested,null,"Ensures <iframe> and <frame> elements contain the axe-core script"
frame-title-unique,null,"Ensures <iframe> and <frame> elements contain a unique title attribute"
frame-title,null,"Ensures <iframe> and <frame> elements have an accessible name"
html-lang-valid,null,"Ensures the lang attribute of the <html> element has a valid value"
input-button-name,null,"Ensures input buttons have discernible text"
landmark-contentinfo-is-top-level,null,"Ensures the contentinfo landmark is at top level"
landmark-no-duplicate-contentinfo,null,"Ensures the document has at most one contentinfo landmark"
presentation-role-conflict,null,"Elements marked as presentational should not have global ARIA or tabindex to ensure all screen readers ignore them"
aria-treeitem-name,null,"Ensures every ARIA treeitem node has an accessible name"
