heading-order,moderate,"Ensures the order of headings is semantically correct"
html-has-lang,serious,"Ensures every HTML document has a lang attribute"
landmark-one-main,moderate,"Ensures the document has a main landmark"
link-name,serious,"Ensures links have discernible text"
region,moderate,"Ensures all page content is contained by landmarks"
scrollable-region-focusable,serious,"Ensure elements that have scrollable content are accessible by keyboard"
aria-allowed-attr,null,"Ensures an element's role supports its ARIA attributes"
aria-allowed-role,null,"Ensures role attribute has an appropriate value for the element"
aria-conditional-attr,null,"Ensures ARIA attributes are used as described in the specification of the element's role"
aria-deprecated-role,null,"Ensures elements do not use deprecated roles"
aria-hidden-body,null,"Ensures aria-hidden="true" is not present on the document body."
aria-hidden-focus,null,"Ensures aria-hidden elements are not focusable nor contain focusable elements"
aria-prohibited-attr,null,"Ensures ARIA attributes are not prohibited for an element's role"
aria-required-attr,null,"Ensures elements with ARIA roles have all required ARIA attributes"
aria-roles,null,"Ensures all elements with a role attribute use a valid value"
aria-valid-attr-value,null,"Ensures all ARIA attributes have valid values"
aria-valid-attr,null,"Ensures attributes that begin with aria- are valid ARIA attributes"
avoid-inline-spacing,null,"Ensure that text spacing set through style attributes can be adjusted with custom stylesheets"
button-name,null,"Ensures buttons have discernible text"
bypass,null,"Ensures each page has at least one mechanism for a user to bypass navigation and jump straight to the content"
color-contrast,serious,"Ensures the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds"
document-title,null,"Ensures each HTML document contains a non-empty <title> element"
empty-heading,null,"Ensures headings have discernible text"
image-alt,null,"Ensures <img> elements have alternate text or a role of none or presentation"
image-redundant-alt,null,"Ensure image alternative is not repeated as text"
landmark-banner-is-top-level,null,"Ensures the banner landmark is at top level"
landmark-no-duplicate-banner,null,"Ensures the document has at most one banner landmark"
landmark-unique,null,"Landmarks should have a unique role or role/label/title (i.e. accessible name) combination"
link-in-text-block,null,"Ensure links are distinguished from surrounding text in a way that does not rely on color"
meta-viewport-large,null,"Ensures <meta name="viewport"> can scale a significant amount"
meta-viewport,null,"Ensures <meta name="viewport"> does not disable text scaling and zooming"
nested-interactive,null,"Ensures interactive controls are not nested as they are not always announced by screen readers or can cause focus problems for assistive technologies"
page-has-heading-one,null,"Ensure that the page, or at least one of its frames contains a level-one heading"
role-img-alt,null,"Ensures [role="img"] elements have alternate text"
tabindex,null,"Ensures tabindex attribute values are not greater than 0"
duplicate-id-aria,null,"Ensures every id attribute value used in ARIA and in labels is unique"
html-lang-valid,null,"Ensures the lang attribute of the <html> element has a valid value"
landmark-contentinfo-is-top-level,null,"Ensures the contentinfo landmark is at top level"
landmark-no-duplicate-contentinfo,null,"Ensures the document has at most one contentinfo landmark"
list,null,"Ensures that lists are structured correctly"
listitem,null,"Ensures <li> elements are used semantically"
landmark-main-is-top-level,null,"Ensures the main landmark is at top level"
landmark-no-duplicate-main,null,"Ensures the document has at most one main landmark"
form-field-multiple-labels,null,"Ensures form field does not have multiple label elements"
input-button-name,null,"Ensures input buttons have discernible text"
label-title-only,null,"Ensures that every form element has a visible label and is not solely labeled using hidden labels, or the title or aria-describedby attributes"
label,null,"Ensures every form element has a label"
